PLAYER,VALUE
Jonathan Bender,6.0
Martell Webster,6.0
Walt Williams,6.0
Dahntay Jones,5.95
Quinton Ross,5.93
Pat Garrity,5.92
Hilton Armstrong,5.9
Keyon Dooling,5.9
Sarunas Jasikevicius,5.9
Jarvis Hayes,5.87
Bryon Russell,5.85
Michael Doleac,5.85
Charlie Ward,5.8
Jacque Vaughn,5.77
Rasual Butler,5.74
Bruce Bowen,5.72
Danny Ferry,5.7
Eric Maynor,5.7
Jannero Pargo,5.7
Joel Anthony,5.7
Sam Young,5.7
Maurice Evans,5.66
Roger Mason Jr.,5.63
Keith Bogans,5.62
Mike Batiste,5.6
Rodney White,5.55
Gerald Green,5.5
Jason Smith,5.5
John Amaechi,5.5
Nicolas Batum,5.5
Juan Carlos Navarro,5.4
Brian Shaw,5.35
Adam Morrison,5.3
Dean Garrett,5.3
Monty Williams,5.3
DerMarr Johnson,5.23
James Jones,5.2
Arron Afflalo,5.13
Eddie House,5.13
Marcus Banks,5.1
Michael Ruffin,5.1
Nick Young,5.07
Jordan Farmar,5.03
Marcus Williams,5.0
Stacey Augmon,5.0
Jason Kapono,4.97
Mateen Cleaves,4.9
Daniel Gibson,4.8
Jason Collier,4.8
Mickael Gelabale,4.8
Slava Medvedenko,4.8
Hanno Mottola,4.7
Lindsey Hunter,4.5
Mark Madsen,4.5
Walter McCarty,4.5
Wayne Ellington,4.3
Sasha Vujacic,4.28
Darvin Ham,4.2
Casey Jacobsen,4.13
Dell Curry,4.0
Steve Novak,4.0
Daequan Cook,3.9
Rodney Carney,3.9
Michael Curry,3.87
Orien Greene,3.8
Stephen Graham,3.8
Jeryl Sasser,3.7
Justin Reed,3.7
Sergio Rodriguez,3.7
DeMarre Carroll,3.5
Jeff Teague,3.5
Kareem Rush,3.47
Royal Ivey,3.43
Roko Ukic,3.3
Tierre Brown,3.2
Eddie Gill,3.0
Sam Mitchell,2.75
Sasha Pavlovic,2.7
Quincy Douby,2.6
Steve Kerr,2.6
Brian Scalabrine,2.5
Nikoloz Tskitishvili,1.9
